marker_lat,marker_lng,proposed_name,text_lat,text_lng,horizontal_difference,vertical_difference,score,nearest_other_title,nearest_other_score,confidence,action,notes
-72.84850201835972,-11.71142578125,Acabonack,-72.32913739787085,-15.314941406250002,3.603516,0.519365,5.924638,Pequotauk,15.999393,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-73.05464165865112,-10.502929687500002,Acabonack,-72.32913739787085,-15.314941406250002,4.812012,0.725504,7.943522,Pequotauk,18.018277,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-70.97402838932706,2.2631835937500004,Munchogue,-70.31133703000764,1.9116210937500002,0.351563,0.662691,1.190035,Shagwannock,3.494612,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-71.55969222946285,-34.14550781250001,Pashesauke,-61.88709608905768,-33.28804828910797,0.857460,9.672596,10.958785,Pochaug,17.629792,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-73.16953636227886,-22.126464843750004,Acabonack,-72.32913739787085,-15.314941406250002,6.811523,0.840399,11.057684,Pequotauk,27.131591,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-68.02402198693447,-27.114257812500004,Pashesauke,-61.88709608905768,-33.28804828910797,6.173790,6.136926,15.397612,Acabonack,22.004090,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-68.19605229820671,-25.11474609375,Pashesauke,-61.88709608905768,-33.28804828910797,8.173302,6.308956,18.568910,Acabonack,18.832792,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-69.81689109911444,-32.95898437500001,Pashesauke,-61.88709608905768,-33.28804828910797,0.329064,7.929795,8.423391,Pochaug,17.666777,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-70.56880331763341,-35.04638671875001,Pashesauke,-61.88709608905768,-33.28804828910797,1.758338,8.681707,11.319215,Pochaug,15.287585,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-71.16648590317222,-39.83642578125,Pochaug,-62.46160496515689,-39.83331129165111,0.003114,8.704881,8.709553,Pashesauke,19.101956,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-71.23728930162322,-38.86962890625001,Pochaug,-62.46160496515689,-39.83331129165111,0.963682,8.775684,10.221208,Pashesauke,17.722564,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-70.7724429742589,-38.67187500000001,Pochaug,-62.46160496515689,-39.83331129165111,1.161436,8.310838,10.052992,Pashesauke,16.961087,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-68.95050024546569,-29.311523437500004,Pashesauke,-61.88709608905768,-33.28804828910797,3.976525,7.063404,13.028191,Pochaug,22.271577,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-71.23022052382078,-36.80419921875001,Pochaug,-62.46160496515689,-39.83331129165111,3.029112,8.768616,13.312284,Pashesauke,14.617351,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-71.46213966619457,-36.89208984375001,Pochaug,-62.46160496515689,-39.83331129165111,2.941221,9.000535,13.412367,Pashesauke,14.981106,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-71.49703690095419,-38.12255859375001,Pochaug,-62.46160496515689,-39.83331129165111,1.710753,9.035432,11.601561,Pashesauke,16.861706,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-71.80141030136787,-38.43017578125001,Pochaug,-62.46160496515689,-39.83331129165111,1.403136,9.339805,11.444509,Pashesauke,17.627505,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-74.72961516378618,-53.50341796875001,Pochaug,-62.46160496515689,-39.83331129165111,13.670107,12.268010,32.773170,Totoket,36.593694,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-74.58426829888151,-52.11914062500001,Pochaug,-62.46160496515689,-39.83331129165111,12.285829,12.122663,30.551407,Totoket,38.524763,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-74.36667478672422,-52.14111328125001,Pochaug,-62.46160496515689,-39.83331129165111,12.307802,11.905070,30.366773,Totoket,38.274211,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-74.2597383709313,-50.97656250000001,Pochaug,-62.46160496515689,-39.83331129165111,11.143251,11.798133,28.513010,Pashesauke,38.905414,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-74.2597383709313,-47.94433593750001,Pochaug,-62.46160496515689,-39.83331129165111,8.111025,11.798133,23.964670,Pashesauke,34.357074,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-72.60712040027555,-42.91259765625,Pochaug,-62.46160496515689,-39.83331129165111,3.079286,10.145515,14.764445,Pashesauke,25.156848,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-72.77708126440069,-43.59375000000001,Pochaug,-62.46160496515689,-39.83331129165111,3.760439,10.315476,15.956134,Pashesauke,26.348538,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-72.41563109719552,-40.89111328125001,Pochaug,-62.46160496515689,-39.83331129165111,1.057802,9.954026,11.540729,Pashesauke,21.933132,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-72.08743247624157,-40.38574218750001,Pochaug,-62.46160496515689,-39.83331129165111,0.552431,9.625828,10.454474,Pashesauke,20.846877,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-72.05361149670412,-38.69384765625001,Pochaug,-62.46160496515689,-39.83331129165111,1.139464,9.592007,11.301202,Pashesauke,18.275214,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
47.279229002570844,-22.236328125000004,Pequig,48.019324184801185,-23.2470703125,1.010742,0.740095,2.256208,Nichewaug,14.049775,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-59.07444815466584,6.08642578125,Wequetequock,-59.05174764761254,4.792027733958949,1.294398,0.022701,1.964298,Aushnook,5.676069,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
8.948342272107851,-45.525372025585845,Nonotuck,26.391869671769022,-51.13037109375,5.604999,17.443527,25.851026,Peskeomskut,41.352828,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
27.466539645294674,31.35498069359003,Whipsuppenike,29.743477300551824,30.827636911847904,0.527344,2.276938,3.067953,Okommakamesit,3.158500,medium,review,The two nearest settlement titles have nearly equal scores.
28.979230834652927,32.56347669475885,Whipsuppenike,29.743477300551824,30.827636911847904,1.735840,0.764246,3.368006,Okommakamesit,4.847112,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
